course_title,username,quiz_title,percentage
6-р Анги,240076,Questions we have about the internet шалгалт,40
6-р Анги,240076,UNDER LOCK AND KEY шалгалт,75
6-р Анги,240076,шалгалт 5 small basic,20
6-р Анги,240076,Topology шалгалт,40
6-р Анги,240076,шалгалт 4 small basic,40
6-р Анги,240069,1-р хичээлийн шалгалт,71.43
6-р Анги,240071,шалгалт 1 small basic,25
6-р Анги,240071,Шалгалт 1:  Компьютерийн сүлжээ,75
6-р Анги,240076,шалгалт 3 small basic,60
6-р Анги,240079,Topology шалгалт,80
6-р Анги,240079,шалгалт 1 small basic,75
6-р Анги,240079,Шалгалт 1:  Компьютерийн сүлжээ,50
6-р Анги,240079,шалгалт 2 small basic,100
6-р Анги,240079,шалгалт 3 small basic,60
6-р Анги,240083,1-р хичээлийн шалгалт,42.86
6-р Анги,240083,Questions we have about the internet шалгалт,60
6-р Анги,240083,UNDER LOCK AND KEY шалгалт,0
6-р Анги,240083,шалгалт 5 small basic,40
6-р Анги,240083,шалгалт 7 small basic,40
6-р Анги,240084,Questions we have about the internet шалгалт,60
6-р Анги,240084,Topology шалгалт,40
6-р Анги,240084,UNDER LOCK AND KEY шалгалт,25
6-р Анги,240084,шалгалт 1 small basic,50
6-р Анги,240084,Шалгалт 1:  Компьютерийн сүлжээ,50
6-р Анги,240084,шалгалт 2 small basic,100
6-р Анги,240084,шалгалт 3 small basic,80
6-р Анги,240084,шалгалт 4 small basic,100
6-р Анги,240084,шалгалт 5 small basic,80
6-р Анги,240084,шалгалт 7 small basic,20
6-р Анги,240069,Questions we have about the internet шалгалт,80
6-р Анги,240069,Topology шалгалт,20
6-р Анги,240069,UNDER LOCK AND KEY шалгалт,50
6-р Анги,240069,шалгалт 1 small basic,50
6-р Анги,240069,Шалгалт 1:  Компьютерийн сүлжээ,75
6-р Анги,240069,шалгалт 2 small basic,100
6-р Анги,240069,шалгалт 3 small basic,100
6-р Анги,240069,шалгалт 4 small basic,100
6-р Анги,240069,шалгалт 5 small basic,40
6-р Анги,240069,шалгалт 7 small basic,60
6-р Анги,240076,шалгалт 2 small basic,60
6-р Анги,240083,Topology шалгалт,60
6-р Анги,240083,шалгалт 2 small basic,80
6-р Анги,240083,шалгалт 3 small basic,40
6-р Анги,240083,шалгалт 4 small basic,40
6-р Анги,240081,Questions we have about the internet шалгалт,40
6-р Анги,240081,Topology шалгалт,60
6-р Анги,240081,шалгалт 2 small basic,80
6-р Анги,240081,шалгалт 3 small basic,80
6-р Анги,240081,шалгалт 4 small basic,100
6-р Анги,240081,шалгалт 5 small basic,40
6-р Анги,240076,шалгалт 1 small basic,50
6-р Анги,240076,Шалгалт 1:  Компьютерийн сүлжээ,0
6-р Анги,240080,Topology шалгалт,80
6-р Анги,240080,шалгалт 3 small basic,40
6-р Анги,240080,шалгалт 4 small basic,20
6-р Анги,240081,шалгалт 1 small basic,25
6-р Анги,240081,Шалгалт 1:  Компьютерийн сүлжээ,75
6-р Анги,240080,шалгалт 1 small basic,75
6-р Анги,240080,Шалгалт 1:  Компьютерийн сүлжээ,75
6-р Анги,240080,шалгалт 2 small basic,100
6-р Анги,240077,шалгалт 1 small basic,100
6-р Анги,240077,Шалгалт 1:  Компьютерийн сүлжээ,25
6-р Анги,240077,шалгалт 2 small basic,100
6-р Анги,240077,шалгалт 3 small basic,80
6-р Анги,240083,шалгалт 1 small basic,50
6-р Анги,240083,Шалгалт 1:  Компьютерийн сүлжээ,25
6-р Анги,240074,1-р хичээлийн шалгалт,28.57
6-р Анги,240074,Box duck шалгалт,16.67
6-р Анги,240074,Box duck шалгалт,50
6-р Анги,240074,Dictionary шалгалт,20
6-р Анги,240074,Ice cream шалгалт,16.67
6-р Анги,240074,Ice cream шалгалт,50
6-р Анги,240074,If Statement Шалгалт,80
6-р Анги,240074,Iteration exam,12.5
6-р Анги,240074,Iteration exam,37.5
6-р Анги,240074,Log cabin шалгалт,20
6-р Анги,240074,Online friends and strangers шалгалт,25
6-р Анги,240074,Online Safety Classroom Poster шалгалт,60
6-р Анги,240074,Pygame шалгалт,60
6-р Анги,240074,Questions we have about the internet шалгалт,20
6-р Анги,240074,Snowflakes шалгалт,33.33
6-р Анги,240074,Topology шалгалт,60
6-р Анги,240074,UNDER LOCK AND KEY шалгалт,25
6-р Анги,240074,Variable шалгалт,40
6-р Анги,240074,Лист шалгалт,20
6-р Анги,240074,Функц шалгалт,40
6-р Анги,240074,шалгалт 1 small basic,50
6-р Анги,240074,Шалгалт 1:  Компьютерийн сүлжээ,50
6-р Анги,240074,шалгалт 2 small basic,100
6-р Анги,240074,шалгалт 3 small basic,20
6-р Анги,240074,шалгалт 4 small basic,20
6-р Анги,240074,шалгалт 5 small basic,20
6-р Анги,240074,шалгалт 7 small basic,60
6-р Анги,240074,шалгалт 9 small basic,0
